Kreis (r 12.5m);x;y;Deckungsgrad Rubus sp. [%];DG Strauchschicht [%] (0.5-3m);DG Baumschicht [%] (ab 3m)
0;684825;237350;63.75;23.25;56.25
1;684825;237375;48.75;22.50;61.25
2;684800;237125;25.75;43.25;79.50
3;684800;237150;86.25;35.00;68.75
4;684800;237200;1.13;15.00;26.75
5;684750;237150;0.30;10.25;78.75
6;684750;237375;57.50;7.25;55.00
7;684725;237100;7.00;48.75;57.25
8;684725;237125;0.45;77.50;77.50
9;684725;237225;63.75;6.50;50.00
10;684600;237350;10.75;44.50;30.00
11;684600;237400;71.25;25.75;7.00
12;684575;237400;48.75;39.50;38.75
13;684550;237250;0.00;2.75;7.00
14;684550;237400;17.50;55.00;78.75
15;684450;237150;28.75;13.75;88.75
16;684450;237225;8.00;33.25;50.75
17;684450;237325;57.75;42.00;37.50
18;684450;237375;73.75;40.75;27.00
19;684425;237100;48.00;33.25;60.25
20;684625;237600;8.00;37.50;28.75
21;684575;237500;9.38;55.50;38.75
22;684575;237600;1.00;92.50;10.50
23;684550;237575;6.50;60.00;21.25
24;684525;237600;5.25;20.25;32.50
