Kreis (r 12.5m);X;Y;Deckungsgrad Rubus sp. [%];DG Strauchschicht [%] (0.5-3m);DG Baumschicht [%] (ab 3m)
0;684900;237175;1;50;90
1;684875;237125;72.5;57.5;55
2;684875;237175;15;65;85
3;684875;237250;25;45;65
4;684850;237225;15;65;70
5;684800;237275;25;70;80
6;684800;237325;30;75;80
7;684800;237350;60;65;50
8;684775;237100;85;65;60
9;684775;237125;65;35;70
10;684725;237375;20;65;80
11;684700;237325;77.5;42.5;35
12;684675;237175;15;50;80
13;684675;237350;75.5;75;55
14;684675;237400;75;40;45
15;684525;237450;43.75;42.6;60
16;684500;237350;85;55;35
17;684500;237425;47.5;51.25;77.5
18;684475;237300;22.5;85;65
19;684475;237325;55;70;65
20;684425;237225;35;75;45
21;684425;237325;40;70;60
22;684425;237375;91.25;50;40
23;684400;237300;33.75;23.75;61.25
24;684400;237425;6.75;11.5;36.25
