Kreis;x;y;DG Rubus sp. [%];DG Strauchschicht [%] (0.5-3m);DG Baumschicht [%] (ab 3m)
0;684875;237150;23;30;60
1;684800;237225;3;30;86
2;684775;237450;95;45;4
3;684750;237200;6;15;31
4;684750;237450;50;33;27
5;684625;237375;95;20;18
6;684625;237475;25;45;55
7;684625;237500;1;85;65
8;684625;237625;30;36;40
9;684600;237275;2;20;68
10;684600;237375;50;28.5;55
11;684575;237525;2;40;60
12;684550;237500;3;32;60
13;684500;237250;55;40;35
14;684425;237200;0;20;70
15;684400;237400;45;25;50
16;684350;237375;0.1;5;26
17;684775;237200;13;5;48
18;684725;237425;22;65;45
19;684700;237200;5;11;85
20;684675;237450;15;25;65
21;684600;237325;33;3;43
22;684600;237375;70;50;30
23;684575;237475;6;65;70
24;684525;237350;30;50;54
