Site;ele;slo;dis;pH;har;pho;nit;amm;oxy;bod
S1;934;48;0.84;7.9;45;0.01;0.2;0;12.2;2.7
S2;932;3;1;8;40;0.02;0.2;0.1;10.3;1.9
S3;914;3.7;1.8;8.3;52;0.05;0.22;0.05;10.5;3.5
S4;854;3.2;2.53;8;72;0.1;0.21;0;11;1.3
S5;849;2.3;2.64;8.1;84;0.38;0.52;0.2;8;6.2
S6;846;3.2;2.86;7.9;60;0.2;0.15;0;10.2;5.3
S7;841;6.6;4;8.1;88;0.07;0.15;0;11.1;2.2
S8;752;1.2;4.8;8;90;0.3;0.82;0.12;7.2;5.2
S9;617;9.9;10;7.7;82;0.06;0.75;0.01;10;4.3
S10;483;4.1;19.9;8.1;96;0.3;1.6;0;11.5;2.7
S11;477;1.6;20;7.9;86;0.04;0.5;0;12.2;3
S12;450;2.1;21.1;8.1;98;0.06;0.52;0;12.4;2.4
S13;434;1.2;21.2;8.3;98;0.27;1.23;0;12.3;3.8
S14;415;0.5;23;8.6;86;0.4;1;0;11.7;2.1
S15;375;2;16.1;8;88;0.2;2;0.05;10.3;2.7
S16;349;0.5;24.3;8;92;0.2;2.5;0.2;10.2;4.6
S17;333;0.8;25;8;90;0.5;2.2;0.2;10.3;2.8
S18;310;0.5;25.9;8.1;84;0.6;2.2;0.15;10.6;3.3
S19;286;0.8;26.8;8;86;0.3;3;0.3;10.3;2.8
S20;262;1;27.2;7.9;85;0.2;2.2;0.1;9;4.1
S21;254;1.4;27.9;8.1;88;0.2;1.62;0.07;9.1;4.8
S22;246;1.2;28.8;8.1;97;2.6;3.5;1.15;6.3;16.4
S23;241;0.3;29.76;8;99;1.4;2.5;0.6;5.2;12.3
S24;231;0.5;38.7;7.9;100;4.22;6.2;1.8;4.1;16.7
S25;214;0.5;39.1;7.9;94;1.43;3;0.3;6.2;8.9
S26;206;1.2;39.6;8.1;90;0.58;3;0.26;7.2;6.3
S27;195;0.3;43.2;8.3;100;0.74;4;0.3;8.1;4.5
S28;183;0.6;67.7;7.8;110;0.45;1.62;0.1;9;4.2
S29;172;0.2;69;8.2;109;0.65;1.6;0.1;8.2;4.4
